preset,elapsed_s,reused,use_rationale,use_svd_init,use_acl,use_ucl,use_global_view,rationale_style,rationale_temperature,fusion_gate_style,num_aspects,cl_weight,fusion_init_bias,HR,Precision,Recall,F1,MAP,NDCG,HR@10,Precision@10,Recall@10,F1@10,MAP@10,NDCG@10
winner,97,0,1,1,1,1,1,mlp_softmax,0.5,mlp,4,0.005,5.0,0.4972,0.0360,0.2023,0.0591,0.0592,0.1242,0.3536,0.0441,0.1253,0.0625,0.0517,0.0960
winner_sigmoid_rat,50,0,1,1,1,1,1,mlp_sigmoid,0.5,mlp,4,0.005,5.0,0.4486,0.0299,0.1631,0.0489,0.0462,0.1003,0.3171,0.0380,0.1042,0.0531,0.0407,0.0785
winner_no_svd,87,0,1,0,1,1,1,mlp_softmax,0.5,mlp,4,0.005,5.0,0.4906,0.0344,0.1944,0.0567,0.0543,0.1168,0.3525,0.0450,0.1266,0.0633,0.0478,0.0922
winner_fb0,90,0,1,1,1,1,1,mlp_softmax,0.5,mlp,4,0.005,0.0,0.4983,0.0348,0.1974,0.0573,0.0558,0.1196,0.3635,0.0450,0.1292,0.0639,0.0493,0.0948
winner_no_acl,60,0,1,1,0,1,1,mlp_softmax,0.5,mlp,4,0.005,5.0,0.5017,0.0350,0.1954,0.0575,0.0569,0.1198,0.3536,0.0441,0.1245,0.0622,0.0501,0.0937
winner_no_ucl,61,0,1,1,1,0,1,mlp_softmax,0.5,mlp,4,0.005,5.0,0.4983,0.0354,0.1958,0.0580,0.0563,0.1191,0.3503,0.0440,0.1234,0.0620,0.0492,0.0923
winner_scalar_gate,74,0,1,1,1,1,1,mlp_softmax,0.5,scalar,4,0.005,5.0,0.4884,0.0343,0.1934,0.0564,0.0555,0.1182,0.3558,0.0441,0.1250,0.0623,0.0488,0.0930
winner_no_rat,92,0,0,1,1,1,1,mlp_softmax,0.5,mlp,4,0.005,5.0,0.4961,0.0356,0.2014,0.0587,0.0592,0.1238,0.3514,0.0439,0.1243,0.0621,0.0517,0.0957
old_full,55,0,1,1,1,1,1,mlp_sigmoid,0.5,mlp,4,0.005,0.0,0.4674,0.0315,0.1735,0.0516,0.0481,0.1051,0.3293,0.0403,0.1126,0.0568,0.0424,0.0827
no_global_view,72,0,1,1,1,1,0,mlp_softmax,0.5,mlp,4,0.005,5.0,0.5028,0.0352,0.2002,0.0581,0.0575,0.1218,0.3602,0.0444,0.1272,0.0630,0.0504,0.0952
lightgcn_only,35,0,0,1,0,0,0,mlp_softmax,0.5,mlp,4,0.005,5.0,0.4917,0.0348,0.1937,0.0571,0.0555,0.1179,0.3436,0.0430,0.1201,0.0605,0.0483,0.0908
winner_temp_1.0,74,0,1,1,1,1,1,mlp_softmax,1.0,mlp,4,0.005,5.0,0.4972,0.0349,0.1952,0.0574,0.0559,0.1190,0.3591,0.0439,0.1253,0.0623,0.0491,0.0932
winner_temp_0.5,0,1,1,1,1,1,1,mlp_softmax,0.5,mlp,4,0.005,5.0,0.4972,0.0360,0.2023,0.0591,0.0592,0.1242,0.3536,0.0441,0.1253,0.0625,0.0517,0.0960
winner_temp_0.1,98,0,1,1,1,1,1,mlp_softmax,0.1,mlp,4,0.005,5.0,0.4961,0.0355,0.2002,0.0584,0.0576,0.1219,0.3624,0.0446,0.1275,0.0634,0.0504,0.0953
winner_temp_0.05,98,0,1,1,1,1,1,mlp_softmax,0.05,mlp,4,0.005,5.0,0.4983,0.0356,0.2015,0.0586,0.0580,0.1227,0.3602,0.0446,0.1276,0.0634,0.0507,0.0958
winner_A2,0,1,1,1,1,1,1,mlp_softmax,0.5,mlp,2,0.005,5.0,0.4972,0.0360,0.2023,0.0591,0.0592,0.1242,0.3536,0.0441,0.1253,0.0625,0.0517,0.0960
winner_A3,0,1,1,1,1,1,1,mlp_softmax,0.5,mlp,3,0.005,5.0,0.4972,0.0360,0.2023,0.0591,0.0592,0.1242,0.3536,0.0441,0.1253,0.0625,0.0517,0.0960
winner_A6,0,1,1,1,1,1,1,mlp_softmax,0.5,mlp,6,0.005,5.0,0.4972,0.0360,0.2023,0.0591,0.0592,0.1242,0.3536,0.0441,0.1253,0.0625,0.0517,0.0960
winner_A8,0,1,1,1,1,1,1,mlp_softmax,0.5,mlp,8,0.005,5.0,0.4972,0.0360,0.2023,0.0591,0.0592,0.1242,0.3536,0.0441,0.1253,0.0625,0.0517,0.0960
winner_cl0,0,1,1,1,1,1,1,mlp_softmax,0.5,mlp,4,0.0,5.0,0.4972,0.0360,0.2023,0.0591,0.0592,0.1242,0.3536,0.0441,0.1253,0.0625,0.0517,0.0960
winner_cl0.001,0,1,1,1,1,1,1,mlp_softmax,0.5,mlp,4,0.001,5.0,0.4972,0.0360,0.2023,0.0591,0.0592,0.1242,0.3536,0.0441,0.1253,0.0625,0.0517,0.0960
winner_cl0.01,0,1,1,1,1,1,1,mlp_softmax,0.5,mlp,4,0.01,5.0,0.4972,0.0360,0.2023,0.0591,0.0592,0.1242,0.3536,0.0441,0.1253,0.0625,0.0517,0.0960
winner_cl0.05,0,1,1,1,1,1,1,mlp_softmax,0.5,mlp,4,0.05,5.0,0.4972,0.0360,0.2023,0.0591,0.0592,0.1242,0.3536,0.0441,0.1253,0.0625,0.0517,0.0960
winner_fb2,94,0,1,1,1,1,1,mlp_softmax,0.5,mlp,4,0.005,2.0,0.4972,0.0354,0.2021,0.0584,0.0579,0.1224,0.3558,0.0435,0.1255,0.0619,0.0501,0.0943
winner_fb10,74,0,1,1,1,1,1,mlp_softmax,0.5,mlp,4,0.005,10.0,0.4928,0.0346,0.1927,0.0569,0.0552,0.1177,0.3580,0.0438,0.1247,0.0621,0.0485,0.0924
