preset,elapsed_s,reused,use_rationale,use_svd_init,use_acl,use_ucl,use_global_view,rationale_style,rationale_temperature,fusion_gate_style,num_aspects,cl_weight,fusion_init_bias,HR,Precision,Recall,F1,MAP,NDCG,HR@10,Precision@10,Recall@10,F1@10,MAP@10,NDCG@10
winner,104,0,1,1,1,1,1,mlp_softmax,0.5,mlp,4,0.005,5.0,0.4972,0.0358,0.2020,0.0589,0.0594,0.1243,0.3514,0.0440,0.1247,0.0623,0.0519,0.0960
winner_sigmoid_rat,58,0,1,1,1,1,1,mlp_sigmoid,0.5,mlp,4,0.005,5.0,0.4597,0.0307,0.1668,0.0502,0.0451,0.1005,0.3260,0.0387,0.1077,0.0543,0.0397,0.0785
winner_no_svd,96,0,1,0,1,1,1,mlp_softmax,0.5,mlp,4,0.005,5.0,0.4906,0.0345,0.1949,0.0567,0.0545,0.1171,0.3525,0.0449,0.1260,0.0631,0.0479,0.0922
winner_fb0,115,0,1,1,1,1,1,mlp_softmax,0.5,mlp,4,0.005,0.0,0.4994,0.0351,0.1992,0.0579,0.0555,0.1194,0.3514,0.0438,0.1247,0.0621,0.0482,0.0923
winner_no_acl,64,0,1,1,0,1,1,mlp_softmax,0.5,mlp,4,0.005,5.0,0.5017,0.0351,0.1957,0.0576,0.0570,0.1200,0.3547,0.0443,0.1252,0.0625,0.0502,0.0940
winner_no_ucl,65,0,1,1,1,0,1,mlp_softmax,0.5,mlp,4,0.005,5.0,0.4994,0.0354,0.1962,0.0580,0.0563,0.1192,0.3503,0.0440,0.1234,0.0620,0.0492,0.0924
winner_scalar_gate,77,0,1,1,1,1,1,mlp_softmax,0.5,scalar,4,0.005,5.0,0.4884,0.0343,0.1934,0.0564,0.0552,0.1180,0.3547,0.0440,0.1245,0.0621,0.0484,0.0926
winner_no_rat,103,0,0,1,1,1,1,mlp_softmax,0.5,mlp,4,0.005,5.0,0.4961,0.0355,0.2008,0.0585,0.0568,0.1213,0.3580,0.0444,0.1271,0.0630,0.0495,0.0943
old_full,56,0,1,1,1,1,1,mlp_sigmoid,0.5,mlp,4,0.005,0.0,0.4663,0.0314,0.1731,0.0515,0.0481,0.1050,0.3282,0.0402,0.1123,0.0567,0.0424,0.0825
no_global_view,81,0,1,1,1,1,0,mlp_softmax,0.5,mlp,4,0.005,5.0,0.5028,0.0354,0.2008,0.0583,0.0575,0.1219,0.3580,0.0443,0.1269,0.0629,0.0504,0.0949
lightgcn_only,41,0,0,1,0,0,0,mlp_softmax,0.5,mlp,4,0.005,5.0,0.4917,0.0348,0.1937,0.0571,0.0555,0.1179,0.3436,0.0430,0.1201,0.0605,0.0483,0.0908
winner_temp_1.0,102,0,1,1,1,1,1,mlp_softmax,1.0,mlp,4,0.005,5.0,0.4972,0.0355,0.2002,0.0584,0.0581,0.1226,0.3525,0.0439,0.1246,0.0622,0.0506,0.0948
winner_temp_0.5,0,1,1,1,1,1,1,mlp_softmax,0.5,mlp,4,0.005,5.0,0.4972,0.0358,0.2020,0.0589,0.0594,0.1243,0.3514,0.0440,0.1247,0.0623,0.0519,0.0960
winner_temp_0.1,107,0,1,1,1,1,1,mlp_softmax,0.1,mlp,4,0.005,5.0,0.4972,0.0356,0.2009,0.0586,0.0580,0.1225,0.3591,0.0445,0.1269,0.0632,0.0507,0.0955
winner_temp_0.05,102,0,1,1,1,1,1,mlp_softmax,0.05,mlp,4,0.005,5.0,0.4961,0.0356,0.2006,0.0586,0.0576,0.1222,0.3602,0.0445,0.1270,0.0632,0.0502,0.0952
winner_A2,68,0,1,1,1,1,1,mlp_softmax,0.5,mlp,2,0.005,5.0,0.5050,0.0348,0.1934,0.0571,0.0555,0.1183,0.3492,0.0428,0.1222,0.0606,0.0488,0.0918
winner_A3,79,0,1,1,1,1,1,mlp_softmax,0.5,mlp,3,0.005,5.0,0.5006,0.0345,0.1944,0.0568,0.0546,0.1172,0.3635,0.0449,0.1273,0.0633,0.0481,0.0926
winner_A6,106,0,1,1,1,1,1,mlp_softmax,0.5,mlp,6,0.005,5.0,0.4972,0.0343,0.1939,0.0564,0.0569,0.1195,0.3580,0.0456,0.1292,0.0645,0.0508,0.0960
winner_A8,70,0,1,1,1,1,1,mlp_softmax,0.5,mlp,8,0.005,5.0,0.4939,0.0340,0.1857,0.0556,0.0518,0.1130,0.3436,0.0427,0.1186,0.0599,0.0453,0.0878
winner_cl0,72,0,1,1,1,1,1,mlp_softmax,0.5,mlp,4,0.0,5.0,0.4928,0.0349,0.1943,0.0572,0.0556,0.1181,0.3436,0.0430,0.1201,0.0605,0.0484,0.0908
winner_cl0.001,92,0,1,1,1,1,1,mlp_softmax,0.5,mlp,4,0.001,5.0,0.4972,0.0355,0.2022,0.0586,0.0575,0.1224,0.3613,0.0455,0.1301,0.0646,0.0504,0.0961
winner_cl0.01,100,0,1,1,1,1,1,mlp_softmax,0.5,mlp,4,0.01,5.0,0.4961,0.0347,0.1957,0.0571,0.0560,0.1192,0.3669,0.0454,0.1302,0.0645,0.0496,0.0951
